date,contest_number,n1,n2,n3,n4,n5,n6,jolly,superstar,winners_6,prize_6,source_url
2009-01-02,1,16,19,29,34,48,64,53,34,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-01-03,2,17,24,25,40,58,64,27,51,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-01-07,3,14,31,35,40,50,66,68,16,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-01-08,4,14,23,24,41,71,73,63,33,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-01-10,5,2,15,35,54,60,78,27,64,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-01-13,6,9,14,21,55,66,90,4,28,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-01-15,7,8,15,24,25,44,55,86,76,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-01-17,8,13,17,25,55,64,85,11,36,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-01-20,9,19,35,49,52,75,79,41,7,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-01-22,10,1,2,40,52,67,82,23,78,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-01-24,11,2,4,13,23,28,68,49,13,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-01-27,12,20,31,44,51,65,74,71,66,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-01-29,13,27,32,55,65,76,86,60,51,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-01-31,14,1,3,8,38,83,88,16,85,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-02-03,15,11,13,17,49,51,61,8,13,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-02-05,16,7,18,27,33,35,43,28,56,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-02-07,17,8,23,58,61,76,79,90,71,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-02-10,18,11,18,47,80,89,90,70,9,,,https://lottologia.com/superenalotto/estrazioni/2009
2009-02-12,19,3,24,31,32,61,85,17,4,,,https://lottologia.com/superenalotto/estrazioni/2009
