date,contest_number,n1,n2,n3,n4,n5,n6,jolly,super_star
2020-01-02,1,5,45,63,64,78,85,4,89
2020-01-04,2,23,30,37,44,57,80,26,56
2020-01-07,3,2,23,60,66,72,78,19,53
2020-01-09,4,5,14,54,55,66,78,52,45
2020-01-11,5,34,36,38,63,72,81,18,63
2020-01-14,6,1,6,9,32,68,85,79,62
2020-01-16,7,22,29,50,53,72,83,77,85
2020-01-18,8,26,28,32,50,79,87,1,72
2020-01-21,9,6,32,46,53,70,75,62,9
2020-01-23,10,15,20,23,69,72,81,87,79
2020-01-25,11,11,16,17,35,68,90,76,47
2020-01-28,12,16,21,33,50,57,89,52,26
2020-01-30,13,8,46,53,62,77,84,51,38
2020-02-01,14,22,25,45,46,48,88,24,56
2020-02-04,15,21,29,34,64,72,79,14,82
2020-02-06,16,3,20,29,49,65,82,31,70
2020-02-08,17,15,32,54,56,61,85,10,63
2020-02-11,18,16,24,45,68,72,81,20,2
2020-02-13,19,4,15,43,69,74,84,49,36
2020-02-15,20,13,26,40,55,65,86,9,48
2020-02-18,21,26,45,58,69,72,82,9,49
2020-02-20,22,20,36,55,69,80,85,58,3
2020-02-22,23,1,28,57,58,60,68,50,31
2020-02-25,24,10,15,23,54,73,74,63,26
2020-02-27,25,17,51,60,71,75,79,58,85
2020-02-29,26,9,35,44,50,73,78,85,6
2020-03-03,27,5,11,19,26,36,64,1,78
2020-03-05,28,13,40,48,67,69,85,65,43
2020-03-07,29,11,13,31,41,85,87,12,37
2020-03-10,30,8,35,41,43,57,80,42,17
2020-03-12,31,19,22,41,46,56,86,13,56
2020-03-14,32,1,13,18,47,68,75,46,84
2020-03-17,33,17,29,30,49,63,65,15,27
2020-03-19,34,7,11,17,28,29,50,41,59
2020-03-21,35,5,13,38,39,52,59,74,90
2020-05-05,36,39,43,58,73,83,86,35,6
2020-05-07,37,22,35,45,52,57,75,15,12
2020-05-09,38,34,45,59,66,70,78,21,5
2020-05-12,39,21,38,55,60,65,85,66,71
2020-05-14,40,12,17,20,54,61,80,39,17
2020-05-16,41,2,7,71,78,84,87,80,56
2020-05-19,42,26,41,51,62,66,85,40,31
2020-05-21,43,3,21,44,69,73,81,20,12
2020-05-23,44,5,15,61,75,82,86,36,40
2020-05-26,45,10,23,27,46,68,74,66,31
2020-05-28,46,16,29,31,73,76,82,26,2
2020-05-30,47,3,27,46,52,70,74,48,4
2020-06-01,48,9,28,49,65,76,81,8,47
2020-06-04,49,5,16,23,30,40,71,10,56
2020-06-06,50,4,21,37,45,50,79,76,5
2020-06-09,51,8,14,30,58,71,87,70,79
2020-06-11,52,1,7,23,47,68,69,79,33
2020-06-13,53,20,42,53,57,62,73,8,89
2020-06-16,54,1,11,39,59,68,74,37,16
2020-06-18,55,4,6,15,35,67,73,36,35
2020-06-20,56,16,29,39,55,63,86,84,51
2020-06-23,57,40,44,52,59,66,69,24,14
2020-06-25,58,14,35,41,51,84,85,78,49
2020-06-27,59,13,33,35,60,78,81,11,52
2020-06-30,60,6,7,57,61,79,89,63,3
2020-07-02,61,12,33,42,56,78,79,88,79
2020-07-04,62,33,38,46,59,65,73,28,47
2020-07-07,63,16,24,29,53,73,88,62,50
2020-07-09,64,1,10,26,40,64,88,79,16
2020-07-11,65,6,10,19,20,40,67,75,87
2020-07-14,66,17,35,70,71,74,82,22,79
2020-07-16,67,35,39,40,64,67,75,74,5
2020-07-18,68,18,33,49,76,80,84,12,83
2020-07-21,69,4,34,46,54,55,62,10,82
2020-07-23,70,10,29,37,49,56,57,24,68
2020-07-25,71,18,30,42,70,78,80,1,84
2020-07-28,72,23,45,49,71,80,82,61,76
2020-07-30,73,4,15,19,26,28,55,58,2
2020-08-01,74,4,14,17,18,26,45,6,56
2020-08-04,75,5,19,21,25,45,82,59,43
2020-08-06,76,21,37,40,46,69,80,3,65
2020-08-08,77,6,16,22,55,58,83,51,32
2020-08-11,78,7,9,38,68,78,80,26,45
2020-08-13,79,4,5,49,57,66,75,36,77
2020-08-17,80,5,9,26,62,77,79,87,72
2020-08-18,81,13,22,28,58,65,77,6,24
2020-08-20,82,7,17,30,39,41,67,32,70
2020-08-22,83,7,12,45,47,73,87,83,72
2020-08-25,84,15,24,31,70,83,84,76,89
2020-08-27,85,37,49,52,53,75,87,29,30
2020-08-29,86,1,3,35,42,55,61,25,17
2020-09-01,87,10,22,28,45,48,71,53,84
2020-09-03,88,16,17,38,39,68,84,29,7
2020-09-05,89,7,14,27,56,72,83,16,3
2020-09-08,90,23,27,28,31,69,89,24,85
2020-09-10,91,46,48,67,78,80,87,23,56
2020-09-12,92,6,15,36,42,67,78,2,11
2020-09-15,93,2,9,44,47,52,54,16,18
2020-09-17,94,9,29,35,47,53,85,71,48
2020-09-19,95,6,12,14,27,39,73,87,66
2020-09-22,96,4,15,37,48,55,69,31,56
2020-09-24,97,10,13,28,77,86,89,14,1
