rank,strategia,combinazione_str,jolly,superstar,score,n_even,n_dec,rit_avg,freq_avg
1,Anti-pattern,11-21-50-53-80-82,1,52,96.5,3,6,24.5,72.66666666666667
2,Anti-pattern,11-22-32-33-77-82,16,31,94.4,3,5,20.5,70.83333333333333
3,Ritardatari forti,10-25-35-53-70-88,36,49,93.6,3,6,38.833333333333336,72.33333333333333
4,Anti-pattern,23-26-35-50-67-82,52,6,92.6,3,5,29.0,68.33333333333333
5,Anti-pattern,06-24-37-52-77-80,23,11,92.5,4,5,18.166666666666668,79.16666666666667
6,Frequenza storica,20-21-31-41-52-66,16,45,90.8,3,6,15.0,81.16666666666667
7,Anti-pattern,18-25-33-45-76-77,52,3,90.3,2,5,24.833333333333332,73.66666666666667
8,Ritardatari forti,10-11-18-39-70-77,5,6,90.1,3,5,35.333333333333336,72.0
9,Anti-pattern,04-06-35-55-63-75,36,3,89.4,2,5,26.833333333333332,78.16666666666667
10,Ritardatari forti,18-21-35-37-50-75,4,52,87.0,2,5,28.166666666666668,71.0
11,Bilanciata,21-37-55-58-78-86,23,6,86.8,3,5,17.833333333333332,77.33333333333333
12,Bilanciata,02-04-20-39-53-73,23,6,86.8,3,5,21.666666666666668,77.33333333333333
13,Frequenza storica,10-22-30-39-41-52,26,45,85.8,4,5,17.833333333333332,80.83333333333333
14,Frequenza storica,06-20-35-38-55-83,16,79,85.8,3,5,11.5,80.66666666666667
15,Ritardatari forti,19-20-23-26-67-82,52,47,85.3,3,4,28.5,72.5
16,Bilanciata,06-10-32-33-39-82,16,3,85.3,4,3,22.333333333333332,76.66666666666667
17,Bilanciata,10-11-20-25-55-75,43,5,84.9,2,5,28.333333333333332,77.16666666666667
18,Frequenza storica,19-23-39-52-79-83,36,49,84.4,1,6,19.0,81.33333333333333
19,Bilanciata,06-09-20-25-62-75,79,31,84.3,3,5,24.0,80.16666666666667
20,Ritardatari forti,25-35-54-70-75-76,36,45,84.0,3,5,47.333333333333336,70.5
21,Monte Carlo guided,04-10-21-23-54-71,52,70,82.4,3,4,27.833333333333332,77.33333333333333
22,Bilanciata,22-39-47-69-77-80,1,53,81.6,2,5,18.166666666666668,78.16666666666667
23,Monte Carlo guided,20-21-27-42-68-82,26,53,80.7,4,5,14.833333333333334,79.33333333333333
24,Ritardatari forti,21-40-50-70-76-88,43,52,78.1,5,6,44.0,70.0
25,Monte Carlo guided,28-31-58-67-73-84,52,5,77.7,3,6,9.0,78.83333333333333
26,Monte Carlo guided,10-14-19-44-49-51,1,3,77.5,3,4,11.666666666666666,76.66666666666667
27,Monte Carlo guided,01-06-16-30-51-54,66,79,73.3,4,4,10.666666666666666,75.0
28,Frequenza storica,22-43-45-55-56-79,1,11,72.0,2,4,9.833333333333334,80.0
29,Monte Carlo guided,12-15-43-59-64-73,5,72,71.4,2,5,5.166666666666667,75.66666666666667
30,Frequenza storica,05-07-28-34-45-81,66,47,69.2,2,5,3.8333333333333335,81.33333333333333
